date,student,class,playername,code_level1,code_level2,code_level3,code_level4
2021-04-04,,,Vertientes,6082621,589016435,196939009,534664759
2021-04-04,,,Haeju,520689902,895550792,700462165,146272773
2021-04-04,,,Debar,849861005,591933528,460192588,144740558
2021-04-04,,,Santa Cruz de Tenerife,863276068,666906660,465405577,60437866
2021-04-04,,,Nyangao,434226255,988096805,493051273,903482041
2021-04-04,,,Lisakovsk,378108888,825823150,630521132,121718902
2021-04-04,,,Jersey City,483868476,51587595,314480162,905967677
2021-04-04,,,Santeramo in Colle,156025700,306683595,224388479,670762315
2021-04-04,,,Hizan,129226195,417061896,139652996,764842269
2021-04-04,,,Sokol’niki,592938506,75416529,330457785,612965966
2021-04-04,,,Hückeswagen,948484151,541835399,688005696,44820440
2021-04-04,,,San Miguel de Papasquiaro,190080648,418378585,7013376,781575372
2021-04-04,,,Hanau am Main,147319300,461678883,648723120,259681766
2021-04-04,,,Bonneuil-sur-Marne,127583000,59979673,955639653,883051309
2021-04-04,,,Gölcük,468718839,768767079,273951328,461570409
2021-04-04,,,Ruwāndiz,173866956,188501170,166095825,275861830
2021-04-04,,,Bolton,713919476,766894078,551517830,615999394
2021-04-04,,,Powai,57572272,395160400,604081210,334801949
2021-04-04,,,Calasiao,317002276,986785468,456897735,770970305
2021-04-04,,,Velp,512593008,936678212,283157909,63999567
2021-04-04,,,Apaseo el Alto,310136325,566716693,438207472,662147068
2021-04-04,,,Hermosillo,667613338,931956108,928034811,762614734
2021-04-04,,,Skhodnya,806541196,100858685,723648517,932558441
2021-04-04,,,Madisonville,482425675,488677688,880781526,309234768
2021-04-04,,,Mobile,133430301,53772407,1966619,338700486
2021-04-04,,,San Pascual,278374606,410124643,141418341,485526579
2021-04-04,,,Caicedonia,38967094,462796460,121078563,226404045
2021-04-04,,,Karaj,630073704,13597453,382357457,493711395
2021-04-04,,,Calapan,187700751,498845843,549767909,366808195
2021-04-04,,,Huancavelica,999567184,944473906,846830034,904478139
2021-04-04,,,Huanren,129608360,616763266,999400687,151053003
2021-04-04,,,Ad Douiem,46098932,850976248,171115232,739957978
2021-04-04,,,Maitland,551675236,477423030,639052700,866087545
2021-04-04,,,Al Minyā,34141113,873088732,563200629,455320681
2021-04-04,,,Kanash,94673006,119169138,269689337,17214563
2021-04-04,,,Itako,383464043,233843162,944154910,974295938
2021-04-04,,,Bazar-Korgon,160153703,673107184,888576490,689024157
2021-04-04,,,Nova Olímpia,63763416,53516308,303956527,244040302
2021-04-04,,,Luduş,380247666,506660654,880152578,276980038
2021-04-04,,,Minas de Matahambre,712698660,327112974,879025098,282801366
2021-04-04,,,Norton,242381100,817066448,55598709,91670329
2021-04-04,,,Zaraza,522452357,715287874,120314208,141715212
2021-04-04,,,Andilamena,993722407,700671768,683720896,516761265
2021-04-04,,,Khenifra,275986650,716404346,507533088,459121582
2021-04-04,,,Saiki,772688563,962563390,196217192,195755078
2021-04-04,,,Mashhad,637942871,628949800,643059718,979779113
2021-04-04,,,Hawthorne,638064679,490713183,986110951,733833758
2021-04-04,,,Luocheng,798353591,122319910,181270281,99901176
2021-04-04,,,São Miguel do Iguaçu,986658476,617013722,916308595,257844777
2021-04-04,,,Ardeşen,313428841,620580879,721813563,923150562
2021-04-04,,,Sangariā,101037620,548134341,948952903,264063787
2021-04-04,,,Braník,264202567,122743076,719636274,722029898
2021-04-04,,,Sadabe,743223035,844955376,911968143,639725956
2021-04-04,,,Fayetteville,970828746,816176207,627032749,921244241
2021-04-04,,,Herentals,413597590,437301845,566966963,224871453
2021-04-04,,,Shelekhov,491741151,500805694,639613145,601016190
2021-04-04,,,Percut,808561500,192277456,780026070,490091299
2021-04-04,,,Pantai Cenang,647966185,361675896,18358060,324587015
2021-04-04,,,Hōjō,843541570,167455922,638007903,192912093
2021-04-04,,,Rio Claro,19603331,131317751,877994032,197582371
2021-04-04,,,Salah Bey,83681697,661550335,364018626,296731246
2021-04-04,,,Wāris Alīganj,688919914,397386615,509383169,207568586
2021-04-04,,,Tbêng Méanchey,61213224,459372635,64620842,840610389
2021-04-04,,,Ikom,584951895,200606562,84082351,715686619
2021-04-04,,,Naryn,711775860,52687700,34074305,649669359
2021-04-04,,,Springfield,564099380,538947850,657095063,594413959
2021-04-04,,,Eyl,311122788,929333650,233673337,417431194
2021-04-04,,,Weilerswist,233697092,376033349,55529765,691944387
2021-04-04,,,Al Mijlad,288070496,414131885,971249609,930909722
2021-04-04,,,Tasikmalaya,757967900,745486338,587936601,121611434
2021-04-04,,,Sant'Anastasia,463320723,744187655,763640314,923479580
2021-04-04,,,Bethlehem,163289229,545663399,511941029,831268948
2021-04-04,,,Jinja,324401647,942258526,100843745,70094949
2021-04-04,,,South Miami Heights,731299629,357574924,460580401,468603022
2021-04-04,,,Marsala,474875877,597930198,143438562,898917177
2021-04-04,,,Jelgava,292076245,151766083,569611105,208555137
2021-04-04,,,San Lorenzo,985548751,834910291,323169622,89547826
2021-04-04,,,Homs,602253491,864199048,818508660,709887951
2021-04-04,,,Sama,805397665,817290056,567914483,733593592
2021-04-04,,,Katghora,774868119,31693326,13325223,993846110
2021-04-04,,,Kivertsi,335473691,425269480,47491249,827651319
2021-04-04,,,Xalapa de Enríquez,878652375,806500742,726293811,89471543
2021-04-04,,,Oyonnax,6517445,39292531,91057944,841500482
2021-04-04,,,Bad Tölz,240404254,170570976,449804573,506926657
2021-04-04,,,Siwān,96406275,330193138,370879296,828929386
2021-04-04,,,Shancheng,953339749,11832644,998800190,460774504
2021-04-04,,,Nāthdwāra,622222911,168360942,376132217,264068631
2021-04-04,,,Veracruz,362493226,854847913,406530332,130337074
2021-04-04,,,Schwalmstadt,962335995,293226426,201343181,349114256
2021-04-04,,,Saurimo,593323743,925923183,348958660,310656973
2021-04-04,,,Kampong Baharu Balakong,891597732,146334415,18621454,937416199
2021-04-04,,,Carmona,978997190,102701262,93154854,557190135
2021-04-04,,,Corvera de Asturias,690378840,228294533,874068433,823084133
2021-04-04,,,Orūmīyeh,534606019,572660288,582613727,115366524
2021-04-04,,,Tequisquiapan,245556885,946127143,251990372,124032414
2021-04-04,,,Tādif,885429659,98260743,622652477,882418258
2021-04-04,,,Pacora,727570143,647977378,240309479,41277361
2021-04-04,,,Reynosa,280806541,967076064,674961187,729116057
2021-04-04,,,Cravinhos,353748262,550695382,879887962,346329573
